strongs	source	gloss
H134	strongs_he	a basis (of a building, a column, etc.)
H135	bdb	אַדָּן n.pr.loc. in Babylonia Ezr 2:59 (v. כְּרוּב n.pr.)
H135	strongs_he	Addan, an Israelite
H136	bdb	lord
H136	strongs_he	the Lord (used as a proper name of God only)
H137	bdb	אֲדֹנִי־בֶ֫זֶק n.pr.m. (or title) king of Can. city Bezek Ju 1:7; without Maqq. v 5, 6.
H137	strongs_he	Adoni-Bezek; a Canaanitish king
H138	bdb	my Lord is Yahweh
H138	strongs_he	Adonijah, the name of three Israelites
H139	bdb	אֲדֹנִי־צֶ֫דֶק n.pr.m. Canaan. king of Jerusalem
H139	strongs_he	Adoni-Tsedek, a Canaanitish king
H140	bdb	my lord has risen
H140	strongs_he	Adonikam, the name of one or two Israelites
H141	bdb	my Lord is exalted
H141	strongs_he	Adoniram, an Israelite
H142	bdb	wide, great, high, noble; majestic, glorious; make glorious
H142	strongs_he	to expand, i.e. be great or (figuratively) magnificent
H143	bdb	אֲדָר n.pr.[m.] 12th (Babylonian) month = Feb.-Mar.
H143	strongs_he	Adar, the 12th Hebrew month
H144	bdb	אֲדָר n.pr. 12th month;—Ezr 6:15.
H144	strongs_he	Adar.
H145	bdb	glory, magnificence; mantle, cloak, wide
H145	strongs_he	amplitude, i.e. (concrete) a mantle; also (figuratively) splendor
H146	bdb	noble
H146	strongs_he	Addar, a place in Palestine; also an Israelite
H147	bdb	threshing-floor
H147	strongs_he	ample, i.e. a threshing-floor
H148	bdb	counsellor
H148	strongs_he	a chief diviner, or astrologer
H149	bdb	correctly; exactly
H149	strongs_he	quickly or carefully
H150	bdb	drachma; daric
H150	strongs_he	a daric or Persian coin
H151	bdb	אֲדֹרָם (contr. or corrupt, cf. foregoing [a.be.aj]) same official, under David, & Rehob.
H151	strongs_he	Adoram (or Adoniram), an Israelite
H152	bdb	Adar is prince, Adar-malik
H152	strongs_he	Adrammelek, the name of an Assyrian idol, also of a son of Sennacherib
H153	bdb	force
H153	strongs_he	an arm, i.e. (figuratively) power
H154	bdb	אֶדְרֶ֫עִי n.pr.loc. a chief city of Bashan
H154	strongs_he	Edrei, the name of two places in Palestine
H155	bdb	glory, cloak; glory, magnificence; cloak, mantle
H155	strongs_he	something ample (as a large vine, a wide dress)
H156	bdb	אדשׁ only Inf abs. אָדוֹשׁ v. דושׁ
H156	strongs_he	to tread out (grain)
H157	bdb	love; lovely, loveable; friends, lovers; friends; lovers
H157	strongs_he	to have affection for (sexually or otherwise)
H158	bdb	love
H158	strongs_he	affection (in a good or a bad sense)
H159	bdb	amours
H159	strongs_he	love.
H160	bdb	love
H160	strongs_he	love.
H161	bdb	אֹ֫הַד n.pr.m. son of Simeon Gn 46:10 Ex 6:16.
H161	strongs_he	Ohad, an Israelite
H162	bdb	alas!
H162	strongs_he	Oh!
H163	bdb	אַהֲוָא n.pr.loc. town or district in Babylonia, by which a stream is designated, also the stream
H163	strongs_he	Ahava, a river of Babylonia
H164	bdb	אֵהוּד n.pr.m. a Benjamite, son of Gera, deliverer of Isr. fr. Moab a Benjamite, son of Bilhan
H164	strongs_he	Ehud, the name of two or three Israelites
H165	bdb	where?
H165	strongs_he	where
H166	bdb	be clear; shine
H166	strongs_he	to be clear
H167	bdb	tent, move tent; pitch one’s tent
H167	strongs_he	to tent
H168	bdb	tent; tent; dwelling, habitation; the sacred tent
H168	strongs_he	a tent (as clearly conspicuous from a distance)
H169	bdb	tent; tent; dwelling, habitation; the sacred tent
H169	strongs_he	Ohel, an Israelite
H170	bdb	Ohŏla; she who has a tent; tent-woman
H170	strongs_he	Oholah, a symbolic name for Samaria
H171	bdb	Ohŏliab; Father’s tent
H171	strongs_he	Oholiab, an Israelite
H172	bdb	Ohŏliba; tent in her
H172	strongs_he	Oholibah, a symbolic name for Judah
H173	bdb	Ohŏlibama, tent of high place
H173	strongs_he	Oholibamah, a wife of Esau
H174	bdb	aloe
H174	strongs_he	aloe wood (i.e. sticks)
H175	bdb	Aaron
H175	strongs_he	Aharon, the brother of Moses
H176	bdb	desire; or; or rather; or, or if; if perchance; except
H176	strongs_he	desire (and so probably in Proverbs 31:4); hence (by way of alternative) or, also if
H177	bdb	will of God
H177	strongs_he	Uel, and Israelite
H178	bdb	skin-bottle, necromancer; skin-bottle; necromancer; ghost; necromancy
H178	strongs_he	properly, a mumble, i.e. a water-skin (from its hollow sound); hence a necromancer (ventriloquist, as from a jar)
H179	bdb	camel-driver
H179	strongs_he	Obil, an Ishmaelite
H180	bdb	stream; river
H180	strongs_he	a stream
H181	bdb	brand; firebrand
H181	strongs_he	a poker (for turning or gathering embers)
H182	bdb	cause; circumstance
H182	strongs_he	turnings (i.e. occasions); (adverb) on account of
H183	bdb	incline, desire; desire; desire, long for, lust after
H183	strongs_he	to wish for
H184	bdb	sign; mark; describe with a mark; mark you out; measure
H184	strongs_he	to extend or mark out
H185	bdb	desire
H185	strongs_he	longing
H186	bdb	אוּזַי n.pr.m. a Judæan, Ne 3:25.
H186	strongs_he	Uzai, an Israelite
H187	bdb	אוּזָל n.pr.m. 6th son of Joktan
H187	strongs_he	Uzal, a son of Joktan
H188	bdb	woe!
H188	strongs_he	lamentation; also interjectionally Oh!
H189	bdb	desire
H189	strongs_he	Evi, a Midianitish chief
H190	bdb	אוֹיָה = אוֹי ψ 120:5 א֣וֹיָה לִּ֭י.
H190	strongs_he	woe.
H191	bdb	foolish
H191	strongs_he	(figuratively) silly
H192	bdb	man of Merodach
H192	strongs_he	Evil-Merodak, a Babylonian king
H193	bdb	body; belly; their front; prominent part; leading man; noble
H193	strongs_he	the body (as being rolled together); also powerful
H194	bdb	peradventure, perhaps; if peradventure; unless
H194	strongs_he	if not; hence perhaps
H195	bdb	Ulai; Eulaeus
H195	strongs_he	the Ulai (or Eulaeus), a river of Persia
H196	bdb	אֱוִלִי adj. id. [a.bw.ab] Zc 11:15.
H196	strongs_he	silly, foolish; hence (morally) impious
H197	bdb	porch
H197	strongs_he	a vestibule (as bound to the building)
H198	bdb	אוּלָם n.pr.m. only geneal.
H198	strongs_he	Ulam, the name of two Israelites
H199	bdb	but; but indeed
H199	strongs_he	however or on the contrary
H200	bdb	folly
H200	strongs_he	silliness
H201	bdb	eloquent
H201	strongs_he	Omar, a grandson of Esau
H202	bdb	vigour, wealth; manly vigor; strength; wealth
H202	strongs_he	ability, power, (figuratively) wealth
H203	bdb	vigour
H203	strongs_he	On, an Israelite
H204	bdb	On
H204	strongs_he	On, a city of Egypt
H205	bdb	trouble, sorrow, wickedness; trouble, sorrow; idolatry; trouble of iniquity, wickedness
H205	strongs_he	strictly nothingness; also trouble, vanity, wickedness; specifically an idol
H206	bdb	trouble, sorrow, wickedness; trouble, sorrow; idolatry; trouble of iniquity, wickedness
H206	strongs_he	Aven, the contemptuous synonym of three places, one in Coele-Syria, one in Egypt (On), and one in Palestine (Bethel)
H207	bdb	vigorous
H207	strongs_he	Ono, a place in Palestine
H208	bdb	vigorous
H208	strongs_he	Onam, the name of an Edomite and of an Israelite
H209	bdb	vigorous
H209	strongs_he	Onan, a son of Judah
H210	bdb	אוּפָז (n.pr.loc. unknown & dub.) whence came gold; but 𝔊 δόκιμος
H210	strongs_he	Uphaz, a famous gold region
H211	bdb	Ophir
H211	strongs_he	Ophir, the name of a son of Joktan, and of a gold region in the East
H212	bdb	wheel
H212	strongs_he	a wheel
H213	bdb	press, be pressed, make haste; press, hasten, be pressed, confined, narrow, hasten, make haste; press, hasten; be pressed, confined, narrow; hasten, make haste; hasten
H213	strongs_he	to press; (by implication) to be close, hurry, withdraw
H214	bdb	treasure; store; treasury; storehouse
H214	strongs_he	a depository
H215	bdb	be, become light; become light, shine; lighted up; give light, light up, cause to shine, shine, light, lighten, make shine; give light; light up, cause to shine, shine; light; lighten; make shine
H215	strongs_he	to be (causative, make) luminous (literally and metaphorically)
H216	bdb	light; light; morning light, dawn; light; daylight; lightning; light; light of life; light of prosperity; light of instruction; light
H216	strongs_he	illumination or (concrete) luminary (in every sense, including lightning, happiness, etc.)
H217	bdb	flame; region of light; East
H217	strongs_he	flame; hence (in the plural) the East (as being the region of light)
H218	bdb	Ur; flame
H218	strongs_he	Ur, a place in Chaldaea; also an Israelite
H219	bdb	herb; light; light; light
H219	strongs_he	luminousness, i.e. (figuratively) prosperity; also a plant (as being bright)
H220	bdb	manger; crib
H220	strongs_he	a stall
H221	bdb	fiery
H221	strongs_he	Uri, the name of three Israelites
H222	bdb	flame of Ēl, my light is Ēl
H222	strongs_he	Uriel, the name of two Israelites
H223	bdb	flame of Yah, my light is Yah; flame of Yahweh; my light is Yahweh
H223	strongs_he	Urijah, the name of one Hittite and five Israelites
H224	bdb	Urim
H224	strongs_he	Urim, the oracular brilliancy of the figures in the high-priest's breastplate
H225	bdb	consent; agree
H225	strongs_he	properly, to come, i.e. (implied) to assent
H226	bdb	sign; sign, pledge, token; signs, omens; sign, symbol; signs, miracles; signs, memorials; sign, pledge; ensigns, standards; signs, tokens
H226	strongs_he	a signal (literally or figuratively), as a flag, beacon, monument, omen, prodigy, evidence, etc.
H227	bdb	at that time, then; from that time
H227	strongs_he	at that time or place; also as a conjunction, therefore
H228	bdb	make hot; heat
H228	strongs_he	to kindle; (by implication) to heat
H229	bdb	אֶזְבָּ֑י n.pr.m. father of one of David’s men 1 Ch 11:37
H229	strongs_he	Ezbai, an Israelite
H230	bdb	sure; assured
H230	strongs_he	firm
H231	bdb	hyssop
H231	strongs_he	hyssop
H232	bdb	waistcloth
H232	strongs_he	something girt; a belt, also a band
H233	bdb	then; in that case
H233	strongs_he	at that time
H234	bdb	memorial-offering
H234	strongs_he	a reminder; specifically remembrance-offering
H235	bdb	go; go away, go about, be gone, exhausted, used up; yarn, spin
H235	strongs_he	to go away, hence, to disappear
H236	bdb	go; go off
H236	strongs_he	to depart
H237	bdb	[אֶזֶל] onlyהָאָ֑זֶל 1 S 20:19 rd. הַלָּ(א)ז q.v.
H237	strongs_he	Ezel, a memorial stone in Palestine
H238	bdb	give ear, listen, hear; hear; listening, with favour
H238	strongs_he	to broaden out the ear (with the hand), i.e. (by implication) to listen
H239	bdb	weigh; test; prove
H239	strongs_he	to weigh, i.e. (figuratively) ponder
H240	bdb	implements; tools
H240	strongs_he	a spade or paddle (as having a broad end)
H241	bdb	ear; ear; organ of hearing; open ears of, reveal to
H241	strongs_he	broadness. i.e. (concrete) the ear (from its form in man)
H242	bdb	portion; of She’ĕra
H242	strongs_he	Uzzen-Sheerah, a place in Palestine
H243	bdb	peaks
H243	strongs_he	Aznoth-Tabor, a place in Palestine
H244	bdb	my hearing; my ear; אָזְנִי adj.gent. fr. same, הָאָזְנִי Nu 26:16.
H244	strongs_he	Ozni, an Israelite; also an Oznite (collectively), his descendant
H245	bdb	Yahweh hath heard
H245	strongs_he	Azanjah, an Israelite
H246	bdb	manacle; manacles
H246	strongs_he	manacles
H247	bdb	gird, encompass, equip; gird, gird on; girded with might; gird; gird oneself
H247	strongs_he	to belt
H248	bdb	arm
H248	strongs_he	the arm
H249	bdb	a native; one arising from the soil
H249	strongs_he	a spontaneous growth, i.e. native (tree or persons)
H250	bdb	אֶזְרָחִי adj.gent. i.e. of family of זֶרַח
H250	strongs_he	an Ezrachite or descendant of Zerach
H251	bdb	brother; brother; one … another
H251	strongs_he	a brother (used in the widest sense of literal relationship and metaphorical affinity or resemblance [like 1])
H252	bdb	brother
H252	strongs_he	brother.
H253	bdb	ah!; alas!
H253	strongs_he	Oh! (expressive of grief or surprise)
H254	bdb	fire-pot; brasier
H254	strongs_he	a fire-pot or chafing dish
H255	bdb	jackal
H255	strongs_he	a howler or lonesome wild animal
H256	bdb	Ahab, father’s brother
H256	strongs_he	Achab, the name of a king of Israel and of a prophet at Babylon
H257	bdb	brother of an intelligent one
H257	strongs_he	Achban, an Israelite
H258	bdb	be sharp, keen; are keener than evening wolves; sharpeneth; be sharpened
H258	strongs_he	to unify, i.e. (figuratively) collect (one's thoughts)
H259	bdb	one; one; each, every; a certain; only, once; one, another, one, the other; first
H259	strongs_he	properly, united, i.e. one; or (as an ordinal) first
H260	bdb	reeds; rushes
H260	strongs_he	a bulrush or any marshy grass (particularly that along the Nile)
H261	bdb	union
H261	strongs_he	Echud, the name of three Israelites
H262	bdb	declaration
H262	strongs_he	an utterance
H263	bdb	a declaring
H263	strongs_he	solution (of riddles)
H264	bdb	brotherhood
H264	strongs_he	fraternity
H265	bdb	אֲחוֹחַ n.pr.m. a Benjamite 1 Ch 8:4
H265	strongs_he	Achoach, an Israelite
H266	bdb	אֲחוֹחִי (אֲחֹחִי) adj.gent. 2 S 23:9
H266	strongs_he	an Achochite or descendant of Achoach
H267	bdb	אֲחוּמַי n.pr.m. descendant of Judah 1 Ch 4:2.
H267	strongs_he	Achumai, an Israelite
H268	bdb	the hinder side; back part
H268	strongs_he	the hinder part; hence (adverb) behind, backward; also (as facing north) the West
H269	bdb	sister; sister; another
H269	strongs_he	a sister (used very widely [like 251number 250, corrected to 251], literally and figuratively)
